lines: "130"
2025/01/05 13774/24085
2025/01/04 1102979/4697311
2025/01/03 7692/65248
2025/01/02 21700/634859
2025/01/01 2684927/354959246
2024/12/31 715966/2400590
2024/12/28 681608/623504
2024/12/27 206124/2958303
2024/12/26 376107/6786456
2024/08/18 440334/6415657
2024/08/17 1938046/11879398
2024/08/16 81692/1359764
2024/08/15 136485/1953701
2024/08/14 1336485/55783858
2024/08/13 349517/6772867
2024/08/12 141790/4808416
2024/08/11 94366/1348526
2024/08/10 2032744/14409526
2024/08/09 152897/4301172
2024/08/08 106732/3491127
2024/06/06 133160/2369717
2024/06/05 586499/9352538
2024/06/04 473180/6765503
2024/06/03 378091/5889670
2024/06/02 657220/9923412
2024/06/01 1148402/13931566
2024/05/31 154055/1653336
2024/05/30 583548/1041343
2024/05/29 353084/4252334
2024/05/28 307021/2867237
2024/05/27 304006/4191685
2024/05/26 833299/13787177
2024/05/25 2854265/28641442
2024/05/24 3697709/19350830
2024/05/23 559318/7526979
2024/05/22 254511/3337663
2024/05/21 327231/4240188
2024/05/20 644528/8939339
2024/05/19 344237/3135899
2024/05/18 192521/2572972
2024/04/28 482723/10001589
2024/04/27 476556/4751826
2024/04/26 63916/904495
2024/04/25 341963/6468257
2024/04/24 210161/2774851
2024/04/23 69949/1040708
2024/04/22 728680/3582133
2024/04/21 676485/3148225
2024/04/20 830384/8380837
2024/04/18 724988/5887152
2024/04/17 810416/9515452
2024/04/16 29502/829736
2024/04/15 442161/4729379
2024/04/14 151758/749840
2024/04/13 3171974/9205505
2024/04/11 169138/2136550
2024/04/10 136216/1600503
2024/04/09 1110256/7817963
2024/04/08 1455305/29356116
2024/04/07 766629/8722882
2024/04/06 542418/6696251
2024/04/05 258366/3511254
2024/04/04 1094746/9369231
2024/04/03 158660/1551001
2024/04/02 426433/4090908
2024/04/01 707338/7626770
2024/03/31 1376360/16674328
2024/03/30 252033/2808457
2024/03/29 555635/5900524
2024/03/28 466438/9861595
2024/03/27 196822/15467898
2024/03/26 189628/5848894
2024/03/25 252449/9415699
2024/03/24 332488/9514941
2024/03/23 800695/18333006
2024/03/22 784754/8144923
2024/03/21 337925/10020362
2024/03/20 162798/5779283
2024/03/19 397086/7356898
2024/03/18 981454/10749835
2024/03/17 439439/16171862
2024/03/16 399144/10641806
2024/03/15 1047287/4281133
2024/03/14 194649/1375403
2024/03/13 187224/10093704
2024/03/11 148285/7571277
2024/03/10 697060/9901868
2024/03/09 2852986/20054271
2024/03/08 223506/3744989
2024/03/07 164355/2489342
2024/03/06 99565/1516670
2024/03/05 300385/7512847
2024/03/04 2179/13004
2024/03/03 38465/2009411
2024/03/02 37264/1999739
2024/03/01 127412/4268594
2024/02/29 59789/3533296
2024/02/28 81742/3391452
2024/02/27 1494714/1417942
2024/02/26 328787/9106189
2024/02/25 859003/13758387
2024/02/24 646014/54674749
2024/02/23 42950/1686208
2024/02/21 211514/7786347
2024/02/20 2279146/7191492
2024/02/19 563776/17501315
2024/02/18 56259/1450423
2024/02/17 572101/11123690
2024/02/16 411023/13906389
2024/02/15 350817/9164992
2024/02/14 1294799/22931955
2024/02/13 147275/4788751
2024/02/12 262553/9169922
2024/02/11 695416/9396455
2024/02/10 372767/12409301
2024/02/09 837318/6363415
2024/02/08 842409/8836884
2024/02/07 1598865/8323973
2024/02/06 521855/1984170
2024/02/05 576102/2440241
2024/02/04 291502/11491264
2024/02/03 5297814/17934063
2024/02/02 852061/2237376
2024/02/01 598720/5575599
2024/01/31 309048/3888685
2024/01/30 48899/1528049
2024/01/29 49539/197117
2024/01/14 115256/1581174
2024/01/13 2964050/17381281
2024/01/12 1925582/4850529
